                      radius                  box booles               hollow booles          hollow monte carlo              MC uncertainty
      0.1000000000000000E+01      0.1607237320203355E+01      0.1607172354583158E+01      0.1604589666769267E+01      0.3951202016071916E+00
      0.2000000000000000E+01      0.1607237320203355E+01      0.1606717489118608E+01      0.1611784086442793E+01      0.3952031322349397E+00
      0.3000000000000000E+01      0.1607237320203355E+01      0.1605482292764028E+01      0.1606796806663600E+01      0.3962589552182560E+00
      0.4000000000000000E+01      0.1607237320203355E+01      0.1603075269332499E+01      0.1606086218628294E+01      0.3934130065008047E+00
      0.5000000000000000E+01      0.1607237320203355E+01      0.1599103318049935E+01      0.1606252013768223E+01      0.4052723963056822E+00
      0.6000000000000000E+01      0.1607237320203355E+01      0.1593171185777628E+01      0.1598467202947879E+01      0.4038683254642220E+00
      0.7000000000000000E+01      0.1607237320203355E+01      0.1584880907989300E+01      0.1602499671011448E+01      0.4119188436918726E+00
      0.8000000000000000E+01      0.1607237320203355E+01      0.1573831235468380E+01      0.1589351339094826E+01      0.4306229907767161E+00
      0.9000000000000000E+01      0.1607237320203355E+01      0.1559617043536990E+01      0.1590624882955727E+01      0.4431091446589577E+00
      0.1000000000000000E+02      0.1607237320203355E+01      0.1541828720437098E+01      0.1569853476378457E+01      0.4399904411149096E+00
      0.1100000000000000E+02      0.1607237320203355E+01      0.1520051531253192E+01      0.1558052718182768E+01      0.4709960811272323E+00
      0.1200000000000000E+02      0.1607237320203355E+01      0.1493864953490335E+01      0.1545315705947349E+01      0.4770376640539292E+00
      0.1300000000000000E+02      0.1607237320203355E+01      0.1462841980096444E+01      0.1537786903952020E+01      0.5046816699072123E+00
      0.1400000000000000E+02      0.1607237320203355E+01      0.1426548385336898E+01      0.1519498254687591E+01      0.5194017206458398E+00
      0.1500000000000000E+02      0.1607237320203355E+01      0.1384541948485671E+01      0.1506051243037414E+01      0.5461566671929337E+00
      0.1600000000000000E+02      0.1607237320203355E+01      0.1336371629780908E+01      0.1481100466722433E+01      0.5711167748756032E+00
      0.1700000000000000E+02      0.1607237320203355E+01      0.1281576692493536E+01      0.1454139045298954E+01      0.5875433664769673E+00
      0.1800000000000000E+02      0.1607237320203355E+01      0.1219685764261663E+01      0.1435548654748023E+01      0.6154530749982194E+00
      0.1900000000000000E+02      0.1607237320203355E+01      0.1150215830035315E+01      0.1395948138113440E+01      0.6440107332424911E+00
