                         x_0                      booles                   large x_0                 monte carlo              MC uncertainty
      0.5000000000000000E+01      0.1067499990006680E+02      0.9921347101832437E+01      0.1058671680304941E+02      0.1670592198292946E+02
      0.1000000000000000E+02      0.8695153090424823E+01      0.8681178714103382E+01      0.8723407318907338E+01      0.9696425847617013E+01
      0.1500000000000000E+02      0.7279913072604135E+01      0.7563799275654432E+01      0.7397449447729514E+01      0.6500320194324868E+01
      0.2000000000000000E+02      0.6197892942153260E+01      0.6585721783112911E+01      0.6181884729465876E+01      0.4424565445176619E+01
      0.2500000000000000E+02      0.5341603639978564E+01      0.5743937795797726E+01      0.5341341355446494E+01      0.3339723015666466E+01
      0.3000000000000000E+02      0.4648649629347542E+01      0.5025945571323010E+01      0.4658209959385977E+01      0.2535238103751515E+01
      0.3500000000000000E+02      0.4078701905599453E+01      0.4415859692723108E+01      0.4055888944421891E+01      0.1960601878899532E+01
      0.4000000000000000E+02      0.3603950902555138E+01      0.3897672075719886E+01      0.3584786986646699E+01      0.1556646163158020E+01
      0.4500000000000000E+02      0.3204369051032859E+01      0.3456758944982342E+01      0.3180497372328086E+01      0.1286432543790488E+01
      0.5000000000000000E+02      0.2865075703182951E+01      0.3080418253391523E+01      0.2868320031489790E+01      0.1066496204403152E+01
      0.5500000000000000E+02      0.2574750649479161E+01      0.2757919591484107E+01      0.2563603909560918E+01      0.8578372516564167E+00
      0.6000000000000000E+02      0.2324621641535643E+01      0.2480336775458109E+01      0.2316288713383343E+01      0.7301121170030478E+00
      0.6500000000000000E+02      0.2107788667164478E+01      0.2240304184284744E+01      0.2092216978456153E+01      0.6146819281208289E+00
      0.7000000000000000E+02      0.1918756738475329E+01      0.2031765230960366E+01      0.1922287779080140E+01      0.5249454947614571E+00
      0.7500000000000000E+02      0.1753103519593380E+01      0.1849742680002658E+01      0.1748884608119339E+01      0.4529381696520456E+00
      0.8000000000000000E+02      0.1607237320203355E+01      0.1690140988586499E+01      0.1602864972636777E+01      0.3960474268071257E+00
      0.8500000000000000E+02      0.1478217473712580E+01      0.1549581596026567E+01      0.1478496018250977E+01      0.3442816979371788E+00
      0.9000000000000000E+02      0.1363618865406489E+01      0.1425268147091600E+01      0.1356359027164405E+01      0.2987080898793629E+00
      0.9500000000000000E+02      0.1261428364577805E+01      0.1314877326748877E+01      0.1259948638382203E+01      0.2631996454024048E+00
      0.1000000000000000E+03      0.1169964721490108E+01      0.1216470902613213E+01      0.1179273777426690E+01      0.2381523949378747E+00
      0.1050000000000000E+03      0.1087815983379056E+01      0.1128425002719494E+01      0.1088674599271973E+01      0.2108424594117080E+00
      0.1100000000000000E+03      0.1013790160094519E+01      0.1049373251155354E+01      0.1014660815232303E+01      0.1870466547833531E+00
      0.1150000000000000E+03      0.9468760232638493E+00      0.9781609818708037E+00      0.9465520935313817E+00      0.1683996662965870E+00
      0.1200000000000000E+03      0.8862117322868581E+00      0.9138082856950929E+00      0.8863149540347197E+00      0.1510253288707684E+00
      0.1250000000000000E+03      0.8310595585636452E+00      0.8554800972464699E+00      0.8303582817729781E+00      0.1359911668641773E+00
      0.1300000000000000E+03      0.7807853985481468E+00      0.8024618979423294E+00      0.7787632699584632E+00      0.1238571509463899E+00
      0.1350000000000000E+03      0.7348420742568151E+00      0.7541399080366216E+00      0.7353918921040975E+00      0.1129766753958432E+00
      0.1400000000000000E+03      0.6927556488780562E+00      0.7099848762463732E+00      0.6940406628858380E+00      0.1029122209447026E+00
      0.1450000000000000E+03      0.6541141571650391E+00      0.6695387614733547E+00      0.6532421929563894E+00      0.9316315430312037E-01
      0.1500000000000000E+03      0.6185582807264109E+00      0.6324037473850146E+00      0.6189083603134028E+00      0.8624326807360579E-01
      0.1550000000000000E+03      0.5857735980421916E+00      0.5982331455294422E+00      0.5847835041340240E+00      0.7902168591665724E-01
      0.1600000000000000E+03      0.5554841158368546E+00      0.5667238329681733E+00      0.5546504717595364E+00      0.7222376126544536E-01
      0.1650000000000000E+03      0.5274468480102583E+00      0.5376099414786050E+00      0.5266139232311012E+00      0.6765988930150243E-01
      0.1700000000000000E+03      0.5014472548222025E+00      0.5106575714178460E+00      0.5017959799232760E+00      0.6238802820029307E-01
      0.1750000000000000E+03      0.4772953915319910E+00      0.4856603476421473E+00      0.4767836538015495E+00      0.5786832687831152E-01
      0.1800000000000000E+03      0.4548226445152981E+00      0.4624356700006644E+00      0.4548131509511062E+00      0.5290136645825210E-01
      0.1850000000000000E+03      0.4338789557528449E+00      0.4408215388581059E+00      0.4335921760275536E+00      0.4983745466549046E-01
      0.1900000000000000E+03      0.4143304548258493E+00      0.4206738583926749E+00      0.4136724858404212E+00      0.4622766038702479E-01
      0.1950000000000000E+03      0.3960574321676757E+00      0.4018641382646490E+00      0.3962739269170168E+00      0.4275472280992030E-01
      0.2000000000000000E+03      0.3789525990822830E+00      0.3842775285921014E+00      0.3789215182818266E+00      0.4028983101722566E-01
